Year,Horse,Cattle,Sheep,Pig,Total_reported,Livestock_Units
1977,458,7552,94858,0.0,102868,22239
1978,489,9668,98619,1410.0,110186,25373
1979,424,9341,106835,1540.0,118140,26252
1980,366,9638,112824,1256.0,124084,27304
1981,365,8566,127236,1186.0,137353,28372
1982,435,9283,129542,561.0,139821,29318
1983,393,11718,118576,155.0,130842,29944
1984,275,9216,118576,155.0,128222,27324
1985,532,9947,105126,2318.0,117923,26943
1986,629,10398,89353,900.0,101280,24700
1987,541,9644,95458,289.0,105932,24590
1988,529,10398,89353,360.0,100640,24438
1989,340,9053,89823,276.0,99492,22949
1990,416,8639,92483,481.0,102019,23072
1998,512,7514,57382,73.0,65481,16655
1999,333,7636,54151,345.0,62465,16195
2000,473,8291,60468,701.0,69933,18044
2001,498,8373,68252,881.0,78004,19373
2002,493,8925,57077,701.0,67196,18190
2003,494,9197,58358,1465.0,69514,18884
2004,490,9981,70629,900.0,82000,21335
2005,570,11592,78022,1370.0,91554,24276
2006,443,11112,69055,668.0,81278,22114
2007,610,12770,72305,1023.0,86708,24533
2008,392,12806,66920,859.0,80977,23494
2009,553,13638,67052,308.0,81551,24341
